cpu_usage,memory_usage,error_rate,response_time,failure
71.15,22.0,5.5,1193.73,0
74.14,91.37,1.74,2167.42,0
37.49,60.43,0.53,1074.3,0
63.6,37.64,11.79,4066.21,0
84.47,75.85,6.81,861.85,1
46.93,27.42,1.93,4252.72,0
84.57,78.38,10.72,4868.27,1
64.16,86.35,12.37,4322.36,1
76.37,23.67,4.56,1518.0,0
38.62,28.08,5.56,3214.85,0
49.61,36.76,5.34,4689.61,0
68.73,33.69,14.58,900.67,0
99.16,71.2,11.14,3454.61,1
82.08,38.32,0.64,1645.72,0
36.88,95.43,17.53,1641.92,1
51.65,93.16,9.18,1397.91,0
64.91,41.02,11.69,4499.33,1
37.55,99.8,10.19,545.46,0
28.77,70.2,15.84,2168.58,0
50.53,99.69,10.58,4858.28,1
20.92,77.66,13.63,2731.15,0
71.28,28.92,8.7,2323.25,0
90.07,41.07,10.01,975.39,1
89.64,43.88,12.78,3083.95,1
81.0,63.15,15.57,2698.73,1
45.93,21.56,18.58,4405.74,1
44.6,24.63,17.56,4740.05,1
58.88,25.54,15.21,3852.59,0
58.02,63.98,5.3,4374.92,1
36.94,63.14,14.6,1085.64,0
99.61,71.99,8.76,2636.12,1
37.98,47.05,11.77,1227.56,0
25.68,70.49,4.58,4536.56,0
25.67,39.04,13.38,1149.76,0
94.84,65.68,9.45,3944.64,1
35.23,27.75,8.62,2175.54,0
78.33,73.87,19.68,582.25,1
47.14,88.93,4.97,1032.02,0
53.75,42.28,5.0,4624.0,0
88.91,64.03,1.01,4996.48,1
97.52,94.11,16.97,914.92,1
37.1,52.08,1.17,1956.97,0
41.22,82.73,9.1,2172.74,1
99.63,64.46,14.37,858.5,1
97.5,66.33,10.84,3765.08,1
66.73,60.23,17.05,871.42,1
26.41,34.87,11.9,3408.54,0
29.59,91.22,4.92,3013.14,0
53.54,66.69,10.46,4680.06,1
77.3,39.09,7.92,3391.28,0
45.29,80.15,1.45,2345.6,0
99.69,25.86,4.26,1399.48,0
90.47,90.34,7.39,872.96,1
76.28,68.93,19.74,3304.48,1
85.37,43.95,13.27,4700.76,1
29.23,28.56,11.06,1434.51,0
77.41,36.29,12.68,1393.52,0
92.43,87.69,1.85,2175.52,1
20.28,81.69,12.74,1383.58,0
64.13,54.21,0.19,468.69,0
92.31,63.65,16.69,2954.3,1
30.2,44.66,17.98,4001.0,1
91.91,36.81,4.99,603.69,0
90.73,52.51,12.41,857.31,1
89.17,98.1,16.22,4418.94,1
78.93,46.57,18.62,4030.95,1
84.86,41.34,15.75,629.67,1
88.69,37.79,16.33,2355.49,1
83.63,38.21,0.47,1046.34,0
89.15,97.35,5.58,3243.26,1
98.49,62.9,18.78,665.17,1
34.29,97.0,5.31,631.17,0
78.28,45.09,12.12,2605.97,1
66.13,40.38,14.18,108.29,0
63.08,77.55,14.84,3386.08,1
25.6,73.14,6.6,1638.19,0
77.58,44.03,6.19,2101.13,0
43.65,30.18,8.41,4707.78,0
92.22,69.24,6.02,2784.89,1
42.95,54.39,11.6,3308.06,0
55.37,37.1,9.46,4515.79,1
33.58,26.78,10.31,3201.41,0
85.47,80.09,13.46,1200.74,1
21.95,39.59,9.5,4263.71,0
53.16,70.38,3.89,3512.14,0
39.52,72.48,0.11,3779.73,0
28.53,54.01,3.52,4794.03,0
24.02,39.94,16.97,2336.66,0
73.41,99.03,11.91,4755.19,1
69.01,77.54,10.1,4169.79,1
91.78,79.49,9.49,1370.04,1
71.01,81.27,10.43,3171.07,1
26.2,42.86,5.43,1666.58,0
31.07,38.5,13.88,3561.45,0
52.61,63.41,8.32,1113.49,0
92.39,66.73,13.91,4297.99,1
50.43,20.47,7.04,3792.03,0
96.27,53.52,14.95,2776.05,1
37.64,37.55,8.72,242.22,0
74.33,52.35,3.3,2390.21,0
69.78,22.16,7.88,2865.52,0
71.42,30.86,9.23,346.39,0
36.93,46.15,15.22,1957.72,0
86.55,40.18,1.64,194.98,0
99.99,48.0,13.0,3928.04,1
80.34,95.97,3.99,199.86,0
30.1,73.56,11.28,1168.03,0
81.35,33.42,12.14,3764.84,1
85.54,97.18,2.16,225.82,0
74.19,96.65,7.93,3603.57,1
75.25,70.18,2.04,3885.16,1
68.03,29.68,19.68,3934.91,1
54.27,49.65,10.12,1772.03,0
85.79,28.44,19.22,3214.37,1
76.58,54.84,14.68,4830.82,1
84.66,63.05,9.67,2234.32,1
41.47,88.14,16.61,524.65,1
39.51,57.18,12.21,1957.05,0
88.08,34.55,4.24,4009.38,0
90.43,76.09,5.53,149.74,1
26.85,77.61,9.77,3815.01,1
71.67,59.27,15.86,555.96,1
75.34,44.5,11.63,2418.98,1
54.04,79.67,6.62,3543.99,1
40.11,29.65,3.85,685.82,0
80.98,34.81,4.33,2472.57,0
98.13,61.97,5.66,592.58,0
38.2,34.36,0.28,2717.26,0
97.94,64.27,13.95,718.77,1
59.27,89.82,11.48,2400.05,1
34.75,24.11,18.82,2440.87,0
52.06,25.93,12.59,362.68,0
65.03,44.31,19.88,680.41,1
68.51,83.26,4.51,2660.61,1
55.42,88.81,19.8,1596.36,1
68.77,79.21,18.95,1118.16,1
72.83,32.56,3.48,467.82,0
56.04,67.5,5.83,1234.23,0
76.24,56.32,13.75,4627.16,1
70.0,72.89,18.67,2183.18,1
71.81,92.67,16.53,449.91,1
44.61,79.92,11.38,1514.19,0
75.09,75.98,18.85,2552.31,1
26.44,23.19,8.64,1679.38,0
27.31,96.95,16.72,2918.48,1
99.97,73.78,5.39,297.14,1
57.64,72.12,18.32,989.3,1
70.78,59.34,1.82,1805.01,0
73.61,88.62,6.6,3499.0,1
95.62,85.09,11.0,2328.65,1
45.86,97.61,8.08,2621.52,1
72.61,63.41,8.26,1019.15,0
80.52,70.03,15.2,1097.44,1
94.21,55.05,13.97,694.99,1
68.71,39.14,3.17,2799.11,0
27.46,99.38,18.26,2361.09,1
86.57,59.87,14.33,2593.47,1
86.78,98.42,4.87,2801.2,1
93.75,60.66,17.59,4333.73,1
83.2,53.2,18.68,2587.91,1
42.63,43.88,11.74,4994.62,1
31.89,63.09,6.9,2804.4,0
56.43,45.74,3.77,3517.74,0
38.68,82.04,0.87,3749.06,0
84.91,50.89,13.27,4121.66,1
59.63,22.96,10.05,2991.88,0
89.94,55.22,10.52,2338.95,1
52.8,72.38,3.09,2400.5,0
47.08,75.42,13.0,4273.65,1
88.75,50.4,6.33,3621.72,1
89.79,22.87,1.37,3192.69,0
99.79,79.74,8.68,582.37,1
89.81,55.49,13.88,4526.78,1
83.69,43.47,7.5,813.29,0
65.27,83.4,3.4,486.94,0
69.58,39.27,18.26,801.28,1
40.32,40.43,0.19,4042.7,0
74.21,32.64,8.83,1793.27,0
71.12,53.94,5.0,4241.99,1
50.78,58.66,4.74,2902.42,0
99.42,43.62,19.56,3325.33,1
65.27,74.86,14.89,340.32,1
59.74,92.33,5.72,4014.41,1
48.19,70.93,12.42,3421.05,1
72.73,87.07,12.56,4526.68,1
44.71,55.27,11.59,3688.56,0
43.61,79.8,3.51,747.58,0
97.72,62.47,18.27,4169.32,1
85.98,58.55,16.13,3758.14,1
29.21,97.03,2.82,4835.85,1
77.94,98.4,19.35,4042.48,1
83.25,21.11,10.73,2328.45,0
73.79,66.76,16.45,4707.43,1
38.71,22.0,17.68,2850.9,0
37.71,25.06,16.48,4556.0,0
52.66,31.18,18.93,1591.39,0
27.78,90.98,2.71,2322.85,0
79.45,95.68,8.38,3737.12,1
53.19,27.92,9.79,2099.77,0
22.62,49.64,8.87,4757.72,0
27.95,74.85,10.89,4891.43,1
51.85,35.18,2.44,4255.36,0
73.02,71.34,11.94,204.65,1
39.49,30.07,11.29,436.19,0
36.57,37.28,17.39,1709.94,0
92.04,20.23,17.17,808.97,0
40.05,33.96,13.22,226.32,0
83.2,39.03,6.48,953.81,0
79.34,62.09,14.91,2433.61,1
61.06,28.72,10.08,4732.54,0
82.66,89.36,10.43,2344.41,1
24.87,58.32,8.03,3461.88,0
92.78,25.88,1.62,3080.66,0
42.0,70.65,10.97,1693.41,1
62.44,56.3,12.11,585.97,0
88.22,72.07,15.38,3632.12,1
56.12,38.28,6.78,2322.14,0
27.61,54.14,13.3,1934.08,0
93.84,25.37,16.64,556.83,0
79.1,84.94,11.13,2973.68,1
46.37,29.78,7.07,3360.17,0
89.45,77.68,19.37,3042.01,1
66.23,37.02,13.13,1198.8,0
87.63,49.4,15.25,2913.09,1
87.61,97.96,16.37,3106.51,1
22.1,94.33,16.59,1410.49,0
76.22,44.72,6.8,129.92,0
65.31,52.06,2.84,3202.54,0
79.69,37.21,8.4,1770.39,0
77.73,82.15,11.35,516.29,1
32.59,69.43,13.48,1433.3,0
58.85,55.36,5.46,3799.22,0
54.39,42.66,13.57,2484.5,1
